Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C16, C7",0805,6,10u,C15850
"C11, C15, C19, C20, C21, C22, C28, C3, C6, C8",0402,10,100n,C307331
"C14, C17, C26",0402,3,1u,C52923
"C18, C25, C5",1206,3,4.7u,C29823
C2,0603,1,470p,C1620 
C27,0402,1,27p,C1557
C4,0402,1,10n,C15195
D1,D_SOD-323F,1,1N4148WS,C2128
"D2, D3",0805,2,RedLED,C84256
"D4, D5, D6, D7, D9",0603,5,Green_0603,C72043
D8,SOD3716X145N,1,1N5819HWQ-7-F,C2905649
FID1,Product Stamp,1,Fiducial,
IC1,SOIC127P600X175-8N,1,NE555DR,C7593
IC2,SOIC127P600X175-8N,1,LM358DR2G,C7950
IC3,SOT95P280X130-5N,1,XC6227C331MR-G,C216640
IC4,SON50P200X200X80-9N,1,DRV8837CDSGR,C191000
IC5,ESP32C3MINI1N4,1,ESP32-C3-MINI-1-N4,C2838502
IC6,QFN50P300X300X100-17N-D,1,BQ24073RGTR,C15220
IC7,SON100P300X300X110-7N,1,SHT20,
J1,GT-USB-7010A,1,GT-USB-7010,C963370
J6,KF350352P,1,KF350-3.5-2P,C474892
JP1,SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,1,SB_NC,
LED1,WS2812B4020,1,WS2812B-4020,C965557
MK1,AP2718AT,1,AP2718AT,C918197
Q1,SOT-363_SC-70-6,1,MUN5214DW1T1G,C94403
Q2,TEMT6000X01,1,TEMT6000X01,C94098
"R1, R15, R2, R31",0402,4,4.7k,C25900
"R10, R11, R22, R23, R24, R25, R26, R32, R33, R35, R5, R7, R8",0402,13,10k,C25744
R12,0402,1,100k,C25741
R13,0402,1,1k,C11702
R14,0402,1,47.5k,C227098
"R16, R18, R3",0402,3,1.5k,C25867
"R17, R20, R21, R29, R30",0402,5,2.2k,C25879
R27,0805,1,DNF_0805,
R28,0805,1,0,C17477
R34,0402,1,300k,C25774
R4,0402,1,2.4k,C25882
R6,0402,1,1M,C26083
R9,0402,1,100,C25076
"S1, S2",TS1101CW,2,TS-1101-C-W,C318938
TH1,0402,1,10k_NTC,C333993
"TP1, TP12, TP2",TestPoint_Pad_1.0x1.0mm,3,TestPoint_Alt,
U1,SOT-666,1,USBLC6-2P6,C2827693
U3,CR2032BS61,1,CR2032-BS-6-1,C70377
U4,SOT-23-5,1,LMV321,C7972
