Designator,Mid X,Mid Y,Rotation,Layer
C10,214.8,-114.22,90.0,top
C11,213.8,-114.22,90.0,top
C12,227.5,-122.3,180.0,top
C13,205.85,-94.33,270.0,top
C14,212.0,-96.68,90.0,top
C15,205.15,-101.18,180.0,top
C16,205.85,-98.43,90.0,top
C17,207.98,-109.72,180.0,top
C18,204.725,-106.92,180.0,top
C19,205.3,-92.0,0.0,top
C2,208.928,-121.9643,90.0,top
C20,231.98,-101.9,180.0,top
C3,213.548,-127.8393,0.0,top
C4,210.608,-121.1393,180.0,top
C5,223.228,-121.532,0.0,top
C6,219.9,-102.375,90.0,top
C7,227.35,-103.75,0.0,top
C8,225.05,-103.83,90.0,top
C9,222.13,-103.15,180.0,top
D1,218.928,-125.4393,180.0,top
D10,208.9,-103.4075,90.0,top
D11,205.5125,-104.92,180.0,top
D2,223.0125,-86.7,0.0,top
D8,215.75,-106.8625,270.0,top
D9,210.1,-113.2,0.0,top
IC1,213.528,-124.5393,180.0,top
IC2,225.228,-125.632,0.0,top
IC3,223.25,-112.45,270.0,top
IC4,204.8,-88.9,90.0,top
IC5,209.3,-96.33,0.0,top
IC6,209.25,-107.07,180.0,top
J1,215.0,-89.925,180.0,top
J2,205.5,-88.6,180.0,bottom
J3,230.1,-93.025,270.0,top
L1,203.1,-96.2175,270.0,top
Q1,223.2,-91.9,270.0,top
Q2,216.425,-97.85,180.0,top
Q3,222.375,-96.9,180.0,top
R1,212.61,-94.1,180.0,top
R10,223.69,-89.4,0.0,top
R11,218.7,-94.0,0.0,top
R12,220.9,-92.91,90.0,top
R13,215.64,-104.85,0.0,top
R14,216.0,-114.21,270.0,top
R16,209.61,-98.88,0.0,top
R17,207.9,-87.99,270.0,top
R18,207.9,-89.89,90.0,top
R2,218.5,-95.49,270.0,top
R22,209.4,-110.22,270.0,top
R28,206.09,-108.62,180.0,top
R29,211.5,-110.21,270.0,top
R3,209.228,-126.3493,90.0,top
R30,207.6,-103.93,270.0,top
R31,206.09,-103.62,180.0,top
R32,212.4,-105.22,0.0,top
R33,210.2,-103.92,270.0,top
R34,210.4,-110.22,270.0,top
R35,218.2,-100.01,270.0,top
R36,211.2,-103.71,90.0,top
R37,212.875,-106.52,0.0,top
R38,213.41,-108.02,0.0,top
R4,209.228,-124.4393,90.0,top
R5,218.32,-122.2,180.0,top
R6,220.438,-127.532,0.0,top
R7,223.4,-88.0,180.0,top
R8,222.14,-104.15,0.0,top
R9,220.2,-121.75,90.0,top
S1,211.7,-117.7,180.0,top
S2,204.0,-115.1,270.0,top
TH2,211.9,-108.22,270.0,top
U2,218.1,-102.5,270.0,bottom
